speed_kmh,trip_id,service_id,arrival_time,Datetime
13.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:33:00,11/20/2023 0:33
18.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:35:00,11/20/2023 0:35
44.1,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:42:00,11/20/2023 0:42
47.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:43:00,11/20/2023 0:43
54,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:47:00,11/20/2023 0:47
33.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:48:00,11/20/2023 0:48
4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:49:00,11/20/2023 0:49
19,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:50:00,11/20/2023 0:50
41.7,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:51:00,11/20/2023 0:51
24.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:52:00,11/20/2023 0:52
44.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:57:00,11/20/2023 0:57
44.9,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:58:00,11/20/2023 0:58
27.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,0:59:00,11/20/2023 0:59
37.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:00:00,11/20/2023 1:00
23.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:10:00,11/20/2023 1:10
74,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:12:00,11/20/2023 1:12
47.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:14:00,11/20/2023 1:14
45.5,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:16:00,11/20/2023 1:16
57.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:17:00,11/20/2023 1:17
13.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:19:00,11/20/2023 1:19
18.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:21:00,11/20/2023 1:21
44.1,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:22:00,11/20/2023 1:22
47.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:24:00,11/20/2023 1:24
54,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:25:00,11/20/2023 1:25
33.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:27:00,11/20/2023 1:27
4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:28:00,11/20/2023 1:28
19,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:30:00,11/20/2023 1:30
41.7,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,1:33:00,11/20/2023 1:33
24.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:04:00,11/20/2023 4:04
44.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:06:00,11/20/2023 4:06
44.9,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:07:00,11/20/2023 4:07
27.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:09:00,11/20/2023 4:09
37.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:10:00,11/20/2023 4:10
23.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:12:00,11/20/2023 4:12
74,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:14:00,11/20/2023 4:14
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:18:00,11/20/2023 4:18
47.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:19:00,11/20/2023 4:19
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:20:00,11/20/2023 4:20
45.5,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:22:00,11/20/2023 4:22
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:23:00,11/20/2023 4:23
57.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:24:00,11/20/2023 4:24
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:25:00,11/20/2023 4:25
13.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:27:00,11/20/2023 4:27
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:30:00,11/20/2023 4:30
18.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:31:00,11/20/2023 4:31
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:32:00,11/20/2023 4:32
44.1,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:33:00,11/20/2023 4:33
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:34:00,11/20/2023 4:34
47.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:38:00,11/20/2023 4:38
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:40:00,11/20/2023 4:40
54,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:41:00,11/20/2023 4:41
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:42:00,11/20/2023 4:42
33.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:43:00,11/20/2023 4:43
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:44:00,11/20/2023 4:44
4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:45:00,11/20/2023 4:45
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:46:00,11/20/2023 4:46
19,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:47:00,11/20/2023 4:47
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:48:00,11/20/2023 4:48
41.7,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:49:00,11/20/2023 4:49
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:51:00,11/20/2023 4:51
24.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:52:00,11/20/2023 4:52
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:53:00,11/20/2023 4:53
44.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:54:00,11/20/2023 4:54
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:55:00,11/20/2023 4:55
44.9,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:56:00,11/20/2023 4:56
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,4:58:00,11/20/2023 4:58
27.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:01:00,11/20/2023 5:01
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:04:00,11/20/2023 5:04
37.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:06:00,11/20/2023 5:06
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:07:00,11/20/2023 5:07
23.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:08:00,11/20/2023 5:08
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:09:00,11/20/2023 5:09
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:10:00,11/20/2023 5:10
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:11:00,11/20/2023 5:11
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:12:00,11/20/2023 5:12
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:13:00,11/20/2023 5:13
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:14:00,11/20/2023 5:14
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:15:00,11/20/2023 5:15
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:16:00,11/20/2023 5:16
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:17:00,11/20/2023 5:17
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:18:00,11/20/2023 5:18
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:19:00,11/20/2023 5:19
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:20:00,11/20/2023 5:20
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:21:00,11/20/2023 5:21
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:22:00,11/20/2023 5:22
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:23:00,11/20/2023 5:23
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:24:00,11/20/2023 5:24
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:25:00,11/20/2023 5:25
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:26:00,11/20/2023 5:26
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:27:00,11/20/2023 5:27
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:28:00,11/20/2023 5:28
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:29:00,11/20/2023 5:29
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:30:00,11/20/2023 5:30
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:31:00,11/20/2023 5:31
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:32:00,11/20/2023 5:32
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:33:00,11/20/2023 5:33
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:34:00,11/20/2023 5:34
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:35:00,11/20/2023 5:35
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:36:00,11/20/2023 5:36
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:37:00,11/20/2023 5:37
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:38:00,11/20/2023 5:38
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:39:00,11/20/2023 5:39
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:40:00,11/20/2023 5:40
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:41:00,11/20/2023 5:41
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:42:00,11/20/2023 5:42
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:43:00,11/20/2023 5:43
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:44:00,11/20/2023 5:44
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:45:00,11/20/2023 5:45
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:46:00,11/20/2023 5:46
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:47:00,11/20/2023 5:47
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:48:00,11/20/2023 5:48
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:49:00,11/20/2023 5:49
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:50:00,11/20/2023 5:50
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:51:00,11/20/2023 5:51
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:52:00,11/20/2023 5:52
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:53:00,11/20/2023 5:53
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:54:00,11/20/2023 5:54
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:55:00,11/20/2023 5:55
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:56:00,11/20/2023 5:56
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:57:00,11/20/2023 5:57
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:58:00,11/20/2023 5:58
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,5:59:00,11/20/2023 5:59
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:00:00,11/20/2023 6:00
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:01:00,11/20/2023 6:01
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:02:00,11/20/2023 6:02
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:03:00,11/20/2023 6:03
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:04:00,11/20/2023 6:04
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:05:00,11/20/2023 6:05
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:06:00,11/20/2023 6:06
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:07:00,11/20/2023 6:07
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:08:00,11/20/2023 6:08
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:09:00,11/20/2023 6:09
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:10:00,11/20/2023 6:10
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:11:00,11/20/2023 6:11
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:12:00,11/20/2023 6:12
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:13:00,11/20/2023 6:13
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:14:00,11/20/2023 6:14
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:15:00,11/20/2023 6:15
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:16:00,11/20/2023 6:16
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:17:00,11/20/2023 6:17
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:18:00,11/20/2023 6:18
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:19:00,11/20/2023 6:19
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:20:00,11/20/2023 6:20
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:21:00,11/20/2023 6:21
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:22:00,11/20/2023 6:22
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:23:00,11/20/2023 6:23
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:24:00,11/20/2023 6:24
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:25:00,11/20/2023 6:25
74,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:26:00,11/20/2023 6:26
47.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:27:00,11/20/2023 6:27
45.5,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:28:00,11/20/2023 6:28
57.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:29:00,11/20/2023 6:29
13.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:30:00,11/20/2023 6:30
18.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:31:00,11/20/2023 6:31
44.1,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:32:00,11/20/2023 6:32
47.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:33:00,11/20/2023 6:33
54,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:34:00,11/20/2023 6:34
33.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:35:00,11/20/2023 6:35
4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:36:00,11/20/2023 6:36
19,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:37:00,11/20/2023 6:37
41.7,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:38:00,11/20/2023 6:38
24.6,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:39:00,11/20/2023 6:39
44.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:40:00,11/20/2023 6:40
44.9,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:41:00,11/20/2023 6:41
27.3,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:42:00,11/20/2023 6:42
37.2,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:43:00,11/20/2023 6:43
23.4,24251678-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:44:00,11/20/2023 6:44
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:45:00,11/20/2023 6:45
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:46:00,11/20/2023 6:46
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:47:00,11/20/2023 6:47
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:48:00,11/20/2023 6:48
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:49:00,11/20/2023 6:49
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:50:00,11/20/2023 6:50
44.1,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:51:00,11/20/2023 6:51
47.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:52:00,11/20/2023 6:52
54,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:53:00,11/20/2023 6:53
33.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:54:00,11/20/2023 6:54
4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:55:00,11/20/2023 6:55
19,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:56:00,11/20/2023 6:56
41.7,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:57:00,11/20/2023 6:57
24.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:58:00,11/20/2023 6:58
44.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,6:59:00,11/20/2023 6:59
44.9,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:00:00,11/20/2023 7:00
27.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:01:00,11/20/2023 7:01
37.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:02:00,11/20/2023 7:02
23.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:03:00,11/20/2023 7:03
74,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:04:00,11/20/2023 7:04
47.6,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:05:00,11/20/2023 7:05
45.5,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:06:00,11/20/2023 7:06
57.3,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:07:00,11/20/2023 7:07
13.2,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:08:00,11/20/2023 7:08
18.4,24251679-AUG23-MVS-BUS-Weekday-01,AUG23-MVS-BUS-Weekday-01,7:09:00,11/20/2023 7:09
